f_gender,f_age,f_height,f_shoe_size*,f_number_of_pets*,f_platinum_albums*,f_weekly_workouts*,f_number_of_siblings*,f_pokemon_collected*,f_facebook_friends_count,f_facebook_photos_count,m_gender,m_age,m_height,m_shoe_size*,m_number_of_pets*,m_platinum_albums*,m_weekly_workouts*,m_number_of_siblings*,m_pokemon_collected*,m_facebook_friends_count,m_facebook_photos_count,members_became_friends
female,23,65,6,8,7.5,8,7.5,7.5,1392,454,male,23,69,5,8,7.5,8,7,7,970,498,FALSE
female,26,64,5.5,7.5,7.5,8,7,7.5,587,435,male,25,72,7,7.5,7,7,7,7.5,582,115,FALSE
female,28,65,6,7.5,7.5,7.5,8,8,494,229,male,27,70,7,7.5,7,7.5,8.5,8,568,22,FALSE
female,29,64,6,8,7,8.5,7,7.5,378,229,male,28,71,4.5,8,7.5,8,8,7.5,494,316,FALSE
female,26,63,5,7.5,7.5,8,7.5,7,234,429,male,29,69,5.5,7.5,7.5,7.5,7.5,7.5,423,230,TRUE
female,27,70,7.5,7.5,8.5,7.5,8,8,1077,402,male,30,74,5,7.5,7.5,7.5,7,7.5,1032,418,FALSE
female,23,60,6.5,7.5,7.5,7.5,7.5,7,1259,230,male,24,72,5.5,7.5,7.5,7.5,8.5,7.5,1599,230,FALSE
female,23,69,5.5,8,7.5,8,7.5,7,1906,588,male,27,69,5.5,8,7,7.5,7,7,437,191,TRUE
female,24,67,5.5,7,7.5,7.5,7.5,7,700,462,male,26,67,5,8,7.5,8,8.5,8,1049,140,FALSE
female,27,69,6,8.5,7.5,8,8.5,7.5,962,452,male,24,72,6,7.5,7,8,7,7.5,319,162,FALSE
female,27,63,6,7,7.5,7,8.5,7.5,727,91,male,30,74,5,7.5,7.5,8,8,7.5,1529,157,FALSE
female,24,65,6,7.5,7.5,8,7.5,7.5,1131,431,male,23,68,4.5,8,7,8,7.5,7.5,676,214,FALSE
female,26,67,6,7.5,7.5,7.5,7.5,7.5,1002,229,male,24,70,5.5,7.5,7.5,7.5,7.5,7.5,1092,229,TRUE
female,25,63,6.5,8,7.5,8,7,7.5,754,622,male,24,69,5,8,7.5,7.5,7.5,7.5,920,569,TRUE
female,24,62,7.5,7.5,7.5,8,7.5,7.5,1506,634,male,24,75,6.5,8,7.5,8,7.5,7.5,1556,483,TRUE
female,27,66,6,8,8,8,8.5,8,913,499,male,28,69,6.5,8,8,8,8,7.5,1275,172,TRUE
female,28,64,5.5,7.5,7.5,7.5,7.5,7,771,230,male,26,70,5.5,7.5,7.5,7.5,7,7.5,809,77,TRUE
female,25,68,6.5,7.5,8,7.5,8,7.5,961,481,male,27,76,7.5,8,8,8,8.5,8,3057,119,FALSE
female,24,71,5.5,7.5,7,7.5,7,7,1505,230,male,29,71,5,8,6.5,8,7,7,868,492,FALSE
female,25,62,5.5,7.5,7.5,7.5,8,7.5,977,451,male,25,71,7,7.5,8,8,8,7.5,1150,216,TRUE
female,23,67,5.5,7.5,7.5,7.5,8,7.5,723,213,male,24,74,5,7.5,7.5,7.5,7.5,7.5,740,230,TRUE
female,28,63,6,7.5,7.5,7.5,7.5,7.5,1623,411,male,26,67,4.5,7.5,7.5,8,8,8,1441,442,FALSE
female,24,64,7.5,8,8,8,7.5,7,1739,400,male,27,77,7,8,8,7.5,8.5,7.5,667,204,TRUE
female,23,67,6,7.5,7.5,7.5,7.5,7,681,126,male,23,69,5.5,7.5,7.5,7.5,7.5,7.5,745,442,TRUE
female,25,70,7,7.5,8,7.5,7.5,7.5,1104,431,male,25,73,6.5,8,7.5,8,8.5,7.5,1057,408,TRUE
female,24,64,7.5,7.5,7,7.5,6.5,7,1149,230,male,26,72,6,8,7,8,7,7,482,224,TRUE
female,23,64,5.5,7.5,7.5,7.5,8,7.5,973,405,male,23,72,6,7.5,8,8,8,7.5,1420,571,FALSE
female,24,63,5.5,7.5,7.5,8,8,7.5,773,217,male,26,72,6,8,7.5,8,8.5,7.5,1232,227,FALSE
female,26,68,5.5,8.5,7.5,8.5,7,7,622,416,male,25,74,6,7.5,7.5,7.5,7.5,7.5,358,165,FALSE
female,24,68,5,7.5,7.5,7.5,7.5,7.5,1199,230,male,29,67,5,7.5,7.5,7.5,7.5,7.5,505,208,TRUE
female,24,70,5,8,7.5,8,7.5,7.5,616,315,male,23,75,6,8,7,8,7,6.5,1423,409,TRUE
female,24,63,7.5,7,7.5,7.5,7.5,7.5,1845,430,male,26,79,6,7.5,7.5,7.5,7.5,7.5,939,527,FALSE
female,25,64,7.5,7.5,8,7.5,7.5,7.5,856,498,male,25,72,7,7.5,7,7.5,7.5,7.5,1240,276,FALSE
female,22,64,6.5,7.5,7.5,7.5,7,7,1502,230,male,22,69,6,7.5,7,7.5,8,7.5,983,229,FALSE
female,29,65,6,7.5,7.5,7.5,7.5,7.5,678,430,male,29,72,7,8,7.5,8,8,7.5,2742,229,FALSE
female,22,61,6.5,7.5,7.5,8,7.5,7.5,1500,229,male,22,75,7,7.5,7.5,7.5,7.5,7,1410,230,TRUE
female,24,62,5.5,7,7.5,7.5,7.5,7.5,1485,489,male,24,77,6.5,8,7.5,7.5,8,7.5,811,214,FALSE
female,25,64,6,8,7.5,8,7.5,7.5,1251,442,male,24,74,6,8,7.5,8.5,7.5,7.5,844,230,FALSE
female,29,60,7,8,7.5,8,6.5,7,417,490,male,29,73,5,7.5,7.5,8,7,7.5,635,447,TRUE
female,24,66,6,8,7.5,8,7.5,7.5,1699,527,male,25,66,6.5,8,7,8.5,8,7.5,752,336,FALSE
female,27,66,5.5,8,7,8,7,7.5,743,230,male,28,70,5.5,8,7.5,8,7.5,7.5,596,403,TRUE
female,25,66,5.5,8,7,7.5,7,7.5,813,229,male,26,71,5.5,8,7,8,7.5,7.5,661,227,FALSE
female,23,72,6,7.5,7.5,8,7.5,7.5,1858,404,male,26,75,5.5,8.5,7.5,8,7,7.5,609,429,FALSE
female,26,64,5.5,7.5,7.5,7.5,7.5,7.5,1551,722,male,28,72,4,7,7,7.5,7,7,981,434,FALSE
female,25,67,6,7,7,7,7,7,458,58,male,28,74,6.5,7.5,7.5,7.5,7.5,7.5,828,230,TRUE
female,25,64,6,8,7.5,8,7.5,7.5,1072,435,male,25,72,5.5,8,7,8,8,7.5,862,404,FALSE
female,24,64,6.5,8,7.5,8,7.5,7.5,1107,522,male,28,70,7,8,7.5,8,8.5,7.5,487,146,FALSE
female,23,64,7.5,7.5,7.5,8,8,7.5,1405,230,male,22,72,6.5,8,7.5,8,8.5,7.5,970,212,FALSE
female,24,64,5.5,8,7.5,8.5,7.5,7.5,953,406,male,24,76,6.5,8,7.5,8,7.5,7.5,640,407,FALSE
female,28,62,6.5,8,7.5,7.5,8,7.5,1666,204,male,29,72,5.5,7.5,7.5,7.5,7.5,7.5,1501,118,TRUE
female,24,70,6,7.5,7.5,7.5,7.5,7.5,833,25,male,25,72,6.5,7.5,7.5,7.5,7.5,7.5,943,230,TRUE
female,24,66,6.5,8,7.5,8,7.5,7.5,1159,512,male,27,69,6.5,7.5,7,7.5,7.5,7.5,229,350,TRUE
female,23,63,5,7.5,7,8,7.5,7,870,400,male,24,68,5.5,8,7.5,8,7.5,7.5,1104,409,FALSE
female,22,62,4.5,8,7,7.5,8,7.5,601,480,male,24,69,4,7.5,7,7.5,7,7,324,181,FALSE
female,23,67,6,7.5,7,7.5,7.5,7.5,1028,454,male,23,67,6.5,8,7,8,7.5,7.5,1131,530,TRUE
female,26,64,7.5,7.5,7,7.5,7.5,7.5,1070,492,male,25,73,7,7.5,7,8,7.5,7.5,2925,410,TRUE
female,26,63,6,8,7.5,8,7.5,7.5,870,151,male,28,73,6.5,7.5,8,8,8.5,8,2801,386,FALSE
female,25,64,5.5,8,7,8,7,7,958,490,male,23,68,4.5,8,7.5,8,7,7.5,543,332,TRUE
female,23,62,5.5,7.5,7.5,7.5,8,7.5,938,230,male,23,71,7,8,7.5,8,8,7.5,1163,436,FALSE
female,24,61,6,8,7.5,8,7.5,7.5,979,474,male,23,73,5.5,8,7.5,8,7.5,7.5,781,200,TRUE
female,24,61,6,8,7.5,8,8,7.5,744,228,male,24,75,5.5,8,7,8,7,7,580,230,TRUE
female,24,66,5,7.5,7.5,7.5,7.5,7.5,918,576,male,24,68,5,8,7.5,8,7.5,7.5,1492,411,TRUE
female,24,66,6.5,8,7,8,7.5,7.5,868,230,male,23,68,5.5,8,7.5,8,7,7.5,1004,101,TRUE
female,25,64,6.5,7.5,7,7.5,8,7,759,407,male,26,70,5.5,7.5,7.5,7.5,8,7.5,802,230,TRUE
female,26,64,5.5,8,7.5,7.5,7.5,7.5,201,316,male,28,72,6,7.5,7.5,8,7,7,306,248,TRUE
female,23,67,5.5,8,7.5,8,8,7,421,221,male,25,67,3,7.5,7.5,7,7.5,7.5,1070,250,FALSE
female,28,65,5,8,7,8.5,7.5,7.5,709,405,male,23,68,5,8,7.5,8,8,7.5,1193,400,FALSE
female,25,64,7,7.5,7.5,7.5,8,7.5,1002,213,male,25,73,6,7.5,7.5,7.5,7.5,7.5,895,221,FALSE
female,27,70,6,7.5,7.5,7.5,8,7.5,1091,230,male,26,65,5,7.5,7.5,7.5,8,7.5,878,230,FALSE
female,26,66,5,7.5,7.5,7.5,8,7.5,1218,230,male,25,72,6,7.5,7.5,8,7.5,7.5,1307,224,FALSE
female,22,69,6,8,7.5,8,7.5,7.5,1428,230,male,23,69,5.5,8,7,8.5,7,7.5,496,221,TRUE
female,27,63,7,7.5,7.5,8,7,7.5,985,524,male,26,70,6.5,8,7.5,7.5,7.5,7.5,1296,495,TRUE
female,23,63,5,7.5,7.5,7.5,8,7.5,623,394,male,23,69,5,8,7,7.5,7.5,7.5,1887,501,FALSE
female,23,62,5.5,7.5,7.5,8,7.5,7.5,604,229,male,25,68,5.5,7.5,7.5,8,7.5,7.5,696,230,FALSE
female,28,63,6,8,7,7.5,7.5,7,448,230,male,32,67,5.5,7.5,7.5,7.5,8,7.5,910,212,FALSE
female,26,61,4.5,8,7,7.5,7,7,1315,391,male,27,74,4,8,6.5,7.5,7,7,827,556,FALSE
female,23,65,6.5,7.5,7.5,7.5,7,7,421,230,male,24,72,6,7.5,7.5,7.5,7.5,7,637,230,TRUE
female,22,63,6,7.5,7.5,7.5,8,7.5,538,420,male,23,71,5.5,8,7.5,7.5,8,7.5,1555,230,FALSE
female,21,65,7,8,7,8,7.5,7,1879,230,male,24,75,6,7.5,7,7.5,7.5,7.5,952,235,FALSE
female,27,67,4.5,7.5,7,7.5,7,7.5,719,460,male,25,72,5.5,7.5,7,7.5,7.5,7.5,595,288,TRUE
female,24,62,5.5,8,7,8,7,7.5,954,551,male,24,68,5,7.5,7,7.5,7,7,362,249,FALSE
female,25,67,6,7.5,7.5,8,7,7.5,1021,230,male,28,70,6,8,7.5,8,7,7.5,1177,127,FALSE
female,27,60,5,7.5,7.5,7.5,7.5,7.5,587,227,male,29,66,5.5,8,7.5,7.5,7.5,7.5,792,230,FALSE
female,27,67,6,8,7.5,8,7.5,7.5,873,489,male,30,71,6,8,7.5,8,8,8,711,469,TRUE
female,23,71,5.5,7.5,7,7.5,7,7.5,1161,574,male,24,74,5,8,7,7,7.5,7.5,378,306,TRUE
female,28,62,5.5,7.5,7.5,7.5,7.5,7.5,1081,400,male,27,69,5.5,8,7.5,8,8,7.5,502,414,FALSE
female,23,71,5.5,7.5,7.5,7.5,8,7,504,430,male,25,70,5,7.5,7.5,7.5,7.5,7.5,295,217,FALSE
female,30,68,6.5,7.5,7.5,7.5,7.5,7.5,320,105,male,30,72,6,8,7.5,7.5,8.5,7.5,1086,128,TRUE
female,22,66,5.5,8,7.5,8,8,7.5,786,567,male,23,67,5,8,7.5,8,8,7.5,1157,230,FALSE
female,25,65,5,7.5,7,7.5,8.5,8,765,195,male,25,74,4.5,8,7.5,8,8,7.5,646,446,TRUE
female,23,64,6.5,8,7,7.5,7,7,368,446,male,26,69,5,7.5,7.5,7.5,8,7.5,915,448,TRUE
female,22,64,6,8,7.5,8,7.5,7.5,796,230,male,23,72,6,7.5,8,8,8,7.5,1337,229,FALSE
female,27,67,6.5,7.5,7.5,7.5,7,7,2697,230,male,25,72,6,8,7.5,7.5,8,7.5,1095,230,FALSE
female,27,64,5.5,7.5,7.5,7.5,8.5,7.5,512,138,male,26,70,6,7.5,7.5,7.5,8.5,7.5,448,120,FALSE
female,26,65,5.5,7.5,7,7.5,7.5,7.5,294,223,male,27,70,4.5,7,7,7,8,7.5,688,26,TRUE
female,23,69,6.5,8,7,9,7,7,923,468,male,24,70,6,8,7.5,8,7.5,7.5,1263,504,FALSE
female,25,61,6.5,7.5,7.5,7.5,7,7,743,230,male,25,72,6,7.5,7.5,7.5,7.5,7.5,479,230,TRUE
female,26,63,8,7.5,7.5,8,7.5,7.5,634,250,male,25,72,6.5,8,7.5,8,8,8,773,532,TRUE
female,23,68,4.5,8,7.5,8,7,7.5,478,555,male,23,71,5,7.5,7.5,8,8.5,8,810,185,TRUE
female,23,67,6.5,8,8,8,7,7.5,1616,474,male,23,76,7,8,7.5,8,8,7.5,521,230,FALSE
female,29,71,5.5,7.5,7.5,8,7.5,7.5,486,399,male,27,72,6.5,8,7.5,8,8,7.5,1443,230,FALSE
female,26,61,5,7.5,7,7.5,8,7.5,835,229,male,35,71,4.5,7.5,7.5,7.5,8,7.5,820,211,TRUE
female,28,66,5,7,7.5,7.5,7.5,7.5,1659,334,male,26,69,6,8,8,8,8,7.5,1116,403,TRUE
female,25,68,4.5,8,7,8,8,7.5,1200,611,male,26,68,4.5,8,7.5,8,7.5,7.5,439,93,FALSE
female,25,64,6.5,8,7.5,7.5,7.5,7.5,848,551,male,27,72,6,7.5,7.5,8,8,7.5,689,198,TRUE
female,28,63,5.5,7.5,7.5,7.5,7.5,7.5,255,224,male,34,74,6,8.5,7.5,8,8.5,8,1001,229,TRUE
female,24,63,6,7.5,7.5,7.5,7.5,7.5,764,230,male,24,69,6.5,7.5,7.5,7.5,7.5,7,734,225,TRUE
female,25,68,5,8,7.5,7.5,7.5,7.5,617,504,male,24,70,6,8,7.5,8,7.5,7.5,1747,522,FALSE
female,27,70,5.5,8.5,7,8.5,8,7.5,634,228,male,26,72,7.5,7.5,7.5,7.5,7.5,7.5,692,18,FALSE
female,27,69,5,7.5,7.5,7.5,7.5,7.5,359,230,male,28,77,7.5,8,8,8,7.5,7.5,1062,261,TRUE
female,21,66,5.5,8,7.5,8,7,7.5,1595,225,male,23,71,5.5,8,7,7.5,7.5,7,424,247,FALSE
female,23,68,6.5,7.5,8,7.5,7.5,7.5,686,230,male,25,66,7,8.5,7.5,7,7.5,7,853,164,FALSE
female,23,67,5.5,7.5,7,7.5,7,7,656,408,male,23,66,6,8,7,8,7,7,991,410,FALSE
female,22,66,6,8.5,7.5,8.5,7.5,7.5,711,400,male,29,69,7,8,7.5,7,7.5,7.5,1016,36,TRUE
female,22,65,6.5,7.5,7,7.5,7,7,1633,230,male,23,69,7.5,8,7.5,8.5,7.5,7.5,1209,230,FALSE
female,29,64,5,8,7.5,8,8.5,7.5,1411,216,male,32,72,4.5,8,7.5,7.5,8,7.5,424,218,TRUE
female,26,64,4,7.5,7,8,7.5,7.5,617,306,male,25,69,5.5,8,7,8,7.5,7.5,940,431,FALSE
female,25,67,4.5,7.5,7,8,7,7.5,605,526,male,27,69,5.5,8,7,8,7,7.5,482,417,FALSE
female,26,63,5.5,7.5,7.5,8,8,8,678,228,male,24,68,6,7.5,7,8,7,7.5,371,230,FALSE
female,27,66,6.5,7.5,7,8,7,7,1036,230,male,27,77,5.5,8,7.5,8,7,7.5,804,206,TRUE
female,27,69,6,7.5,7.5,7.5,8,7.5,1524,446,male,28,70,5.5,7.5,7.5,7.5,7.5,7.5,637,209,TRUE
female,29,67,5.5,7.5,7.5,7.5,7,7.5,791,125,male,28,68,5.5,8,7,8,8,7.5,1449,289,TRUE
female,23,63,6.5,7.5,7.5,8,7,7.5,1153,472,male,24,74,6.5,7.5,7.5,7.5,8,7.5,766,230,TRUE
female,27,61,6,8,7,7.5,7,7.5,1215,443,male,32,66,6.5,8,7.5,8,8,7.5,808,141,TRUE
female,23,67,5.5,7.5,7.5,8,8,7.5,973,230,male,23,70,5.5,8,7.5,7.5,7.5,7.5,702,254,FALSE
female,24,66,6,8,7,8,7.5,7.5,2323,569,male,23,68,4.5,7.5,7.5,7.5,7,7.5,505,129,TRUE
female,27,67,6,7.5,8,7.5,7.5,7.5,1131,478,male,28,74,5.5,7.5,8,8,8.5,7.5,731,220,FALSE
female,24,65,6,8,7,8.5,7.5,7,990,460,male,23,73,6.5,8,7.5,8,7,7.5,869,448,TRUE
female,28,65,8.5,7.5,7,7.5,7.5,7.5,433,310,male,27,68,6.5,8,7.5,7.5,8.5,8,1006,219,FALSE
female,24,64,7,8,7.5,7.5,7.5,7.5,1024,590,male,25,68,7,8,6.5,8.5,7,7.5,719,581,FALSE
female,28,68,7,8,7,7.5,7.5,7,1106,496,male,29,67,5.5,8,7,8,7,7.5,1424,356,TRUE
female,23,66,7,7.5,8,7.5,8,7.5,1076,548,male,23,72,6.5,8,7.5,8,7.5,7.5,840,456,TRUE
female,23,67,7.5,7.5,7.5,8,7.5,7.5,1440,230,male,24,74,6,8,7.5,8.5,7.5,7.5,844,230,TRUE
female,22,60,6,7.5,7.5,8,8,7.5,1657,230,male,24,70,7.5,8,7.5,8,8,7.5,1176,224,FALSE
female,24,64,6.5,7.5,7.5,7.5,7.5,7.5,833,511,male,27,75,5.5,7.5,7.5,7.5,8,7.5,861,401,FALSE
female,27,64,5,7.5,7,7.5,8,7.5,554,415,male,25,74,4,8,7.5,7.5,8,7.5,705,350,TRUE
female,33,66,6,8,7.5,8,8,7.5,643,319,male,24,77,5,8,7.5,7.5,8.5,7.5,738,441,FALSE
female,24,62,5.5,7.5,7.5,8,7.5,7.5,1244,230,male,25,71,6,7.5,7.5,7.5,7.5,7.5,1431,440,FALSE
female,25,67,3,7.5,7,7.5,7,7.5,593,557,male,26,69,4.5,8,7,8,7,7,224,431,FALSE
female,23,63,5.5,8,7,8,8,7.5,1051,440,male,24,69,6,8.5,7.5,8,8.5,7.5,1040,437,TRUE
female,29,65,5.5,7.5,7.5,7.5,7.5,7.5,875,567,male,29,68,6,8,7.5,7.5,7,7.5,1132,417,TRUE
female,24,70,6,7.5,7.5,8,8.5,8,889,455,male,27,69,4,8.5,7.5,8,8.5,8,839,243,FALSE
female,24,64,5.5,7.5,7,7.5,7,7,560,593,male,24,74,5.5,7.5,7,7.5,7,7,570,405,TRUE
female,24,66,7,7.5,7.5,8,7,7,739,230,male,24,74,7,7,7.5,7.5,7.5,7,798,458,TRUE
female,24,63,6.5,8.5,7.5,9,8,7.5,1256,487,male,23,72,5.5,7,7.5,8,7,7,1163,374,TRUE
female,29,67,5.5,7.5,7,7.5,7.5,7.5,326,60,male,28,71,4.5,7,6.5,7.5,7.5,7.5,807,396,FALSE
female,23,63,5.5,7.5,7.5,7.5,7,7.5,922,489,male,24,68,6,7.5,7,8,8,7.5,1246,230,FALSE
female,26,60,5,8.5,7,8.5,8,7,525,339,male,27,70,4.5,7.5,7,7.5,7.5,7.5,713,534,FALSE
female,23,68,7.5,7.5,8,7.5,8,7.5,2622,604,male,25,68,5.5,7.5,7.5,8,7.5,7.5,1654,230,TRUE
female,23,63,4.5,7.5,7.5,7.5,7,7,962,402,male,26,73,6.5,8,7.5,8.5,7.5,7.5,813,227,FALSE
female,26,68,5,7.5,7,7.5,7.5,7.5,673,459,male,25,71,4.5,7.5,7.5,8,7.5,7.5,1585,530,FALSE
female,25,66,5,7.5,7,8,7,7,658,448,male,25,71,6,7.5,7,7.5,7.5,7.5,606,229,TRUE
female,23,69,5.5,7.5,7.5,8,7,7.5,954,447,male,23,72,6.5,8,7,8.5,7,7.5,630,230,FALSE
female,23,68,5.5,8,7.5,7.5,7.5,8,966,507,male,25,70,5,7.5,7,7.5,8,7.5,1055,421,TRUE
female,24,64,5.5,8,7,6,7,6.5,733,230,male,25,66,5,7,6.5,7.5,6.5,7,388,161,TRUE
female,28,63,5.5,8,7.5,8,8.5,7.5,387,230,male,35,67,6,7.5,8,8,8.5,8,1292,210,FALSE
female,22,67,6,8,7.5,7.5,7.5,7.5,1093,505,male,23,70,6.5,7.5,7.5,7.5,8.5,7.5,1522,230,FALSE
female,23,62,5.5,7.5,7.5,7.5,7.5,7,190,14,male,24,74,6.5,7.5,7.5,7.5,8,7.5,766,230,TRUE
female,24,63,6.5,7.5,7.5,7.5,7,7.5,1678,511,male,24,71,5.5,7.5,7.5,7.5,7,7,1434,526,TRUE
female,24,70,7,8,8,8,8,7.5,1241,502,male,23,71,7,8,7,8,8.5,7.5,1474,521,FALSE
female,25,66,5.5,7.5,7,8,7,7.5,611,142,male,25,73,4.5,7.5,7,8,7.5,7.5,807,230,TRUE
female,24,64,7,8.5,7.5,8.5,7.5,7.5,1502,230,male,24,72,6.5,8,8,8.5,7.5,7.5,1105,230,TRUE
female,26,63,6,7.5,7,7.5,7,7,737,442,male,26,72,5.5,8,7.5,8,7.5,7.5,1441,449,TRUE
female,26,64,6,7.5,8,7.5,8,7.5,793,502,male,29,72,7,8,7.5,7.5,8,8,218,48,TRUE
female,22,62,5.5,7.5,7,8,8.5,7,1411,230,male,24,71,5,7.5,7.5,7.5,8.5,7.5,753,440,FALSE
female,24,64,6,7.5,7.5,7.5,7.5,7.5,363,230,male,24,76,6,7.5,7.5,7.5,8,7.5,567,213,FALSE
